label,subject,message
ham,Meeting schedule for tomorrow,Are you free for lunch on Friday? We can meet near the office around one o'clock.
spam,Library book reminder,The assignment is due next Monday. Please check the course portal for the submission instructions. Please let me know if you need any further information. Let me know if you have any questions.
spam,You are our lucky winner - Act Now,Earn extra money from home with our exclusive opportunity. Register today and receive your bonus. This message was sent automatically.
ham,Weekend family plans,Are you free for lunch on Friday? We can meet near the office around one o'clock. Please let me know if you need any further information.
ham,Office maintenance notice,We are planning a family dinner this weekend. Let me know which day works best for everyone.
spam,Win money today,Exclusive deal available now. Receive a bonus reward when you sign up today. Do not miss this opportunity.
spam,Earn extra cash from home,Your reward is ready. Verify your account and claim the special offer before the deadline.
ham,Lunch plans for Friday,I have attached the project update and the next steps we discussed. Please review it when you have time.
spam,Final notice for your reward,Exclusive deal available now. Receive a bonus reward when you sign up today. Do not miss this opportunity. This message was sent automatically.
ham,Team standup at 10 AM,The team standup will start at 10 AM tomorrow. Please prepare a short update on your current tasks. This is a routine notification from our system.
spam,Get your free gift now,Exclusive deal available now. Receive a bonus reward when you sign up today. Do not miss this opportunity. Please review the details when you have time.
ham,Project update and next steps - Update,Are you free for lunch on Friday? We can meet near the office around one o'clock.
ham,Team standup at 10 AM,This is a reminder that your appointment is scheduled for tomorrow. Please arrive a few minutes early. Let me know if you have any questions.
spam,Get your free gift now,Get a free voucher today. This offer is available for a limited time only. Click to claim. Offer expires today.
spam,Earn extra cash from home - Act Now,Final notice: your prize will be cancelled unless you respond immediately and complete the verification.
spam,Free voucher available,Final notice: your prize will be cancelled unless you respond immediately and complete the verification.
spam,Limited time bonus offer - Act Now,Congratulations! You have won a valuable prize. Click the link now to claim your reward before it expires.
spam,Claim your complimentary gift,You have been chosen for a cash promotion. Claim your money now by confirming your information.
spam,Special promotion ends today,Final notice: your prize will be cancelled unless you respond immediately and complete the verification.
spam,Win money today,You were selected as a lucky winner. Send your details today to receive your cash bonus immediately.
spam,You are our lucky winner,Act now to get your free gift. This limited time offer expires soon and requires immediate confirmation.
spam,Win money today,Congratulations on your selection. Provide the requested details to unlock your free reward.
spam,Exclusive cash offer,Final notice: your prize will be cancelled unless you respond immediately and complete the verification.
ham,Earn extra cash from home,You have been chosen for a cash promotion. Claim your money now by confirming your information. The offer is subject to the terms shown on the website.
ham,Follow up on our discussion,Are you free for lunch on Friday? We can meet near the office around one o'clock.
ham,Notes from today's meeting,"Hi, just confirming that our meeting is scheduled for tomorrow at 10 AM. Please let me know if anything changes."
spam,Win money today,Final notice: your prize will be cancelled unless you respond immediately and complete the verification.
spam,Free voucher available,Final notice: your prize will be cancelled unless you respond immediately and complete the verification.
ham,Office maintenance notice,Are you free for lunch on Friday? We can meet near the office around one o'clock.
spam,Important: claim your prize,Get a free voucher today. This offer is available for a limited time only. Click to claim.
spam,Congratulations your entry won - Act Now,Your reward is ready. Verify your account and claim the special offer before the deadline.
ham,You have been selected for a cash reward,You have been chosen for a cash promotion. Claim your money now by confirming your information.
spam,Exclusive cash offer,Act now to get your free gift. This limited time offer expires soon and requires immediate confirmation. Please confirm the information provided.
spam,Special promotion ends today,You were selected as a lucky winner. Send your details today to receive your cash bonus immediately.
ham,Class timetable update,Please find the invoice for this month attached. Let me know if you have any questions about the amount.
spam,Win money today,"Congratulations on your selection. Provide the requested details to unlock your free reward. Offer expires today. If you are not interested, you can ignore this message."
ham,Meeting schedule for tomorrow,I have attached the project update and the next steps we discussed. Please review it when you have time. Please review the attached information when convenient.
spam,You are our lucky winner,Your reward is ready. Verify your account and claim the special offer before the deadline.
spam,Final notice for your reward,Congratulations! You have won a valuable prize. Click the link now to claim your reward before it expires.
ham,Team standup at 10 AM - Update,I have attached the project update and the next steps we discussed. Please review it when you have time.
spam,Limited time bonus offer,You were selected as a lucky winner. Send your details today to receive your cash bonus immediately. The offer is subject to the terms shown on the website.
spam,Thank you for your message,"Hi, just confirming that our meeting is scheduled for tomorrow at 10 AM. Please let me know if anything changes."
ham,Invoice for this month,The assignment is due next Monday. Please check the course portal for the submission instructions.
spam,Instant money opportunity,You have been chosen for a cash promotion. Claim your money now by confirming your information.
spam,Your reward is waiting,Your reward is ready. Verify your account and claim the special offer before the deadline. The offer is subject to the terms shown on the website.
spam,Exclusive offer just for you - Act Now,You have been chosen for a cash promotion. Claim your money now by confirming your information.
spam,Claim your complimentary gift,Congratulations! You have won a valuable prize. Click the link now to claim your reward before it expires.
ham,Class timetable update,I have attached the project update and the next steps we discussed. Please review it when you have time.
ham,Your appointment confirmation,"Hi, just confirming that our meeting is scheduled for tomorrow at 10 AM. Please let me know if anything changes."
ham,Invoice for this month,The assignment is due next Monday. Please check the course portal for the submission instructions.
spam,Urgent account verification required,Act now to get your free gift. This limited time offer expires soon and requires immediate confirmation. Please confirm the information provided.
spam,Congratulations your entry won,Earn extra money from home with our exclusive opportunity. Register today and receive your bonus.
spam,Your reward is waiting,Final notice: your prize will be cancelled unless you respond immediately and complete the verification.
ham,Invoice for this month,We are planning a family dinner this weekend. Let me know which day works best for everyone.
spam,Instant money opportunity,Congratulations on your selection. Provide the requested details to unlock your free reward.
spam,Get your free gift now,Congratulations! You have won a valuable prize. Click the link now to claim your reward before it expires.
ham,Your order has shipped,I have attached the project update and the next steps we discussed. Please review it when you have time.
ham,Class timetable update,This is a reminder that your appointment is scheduled for tomorrow. Please arrive a few minutes early. Please review the attached information when convenient.
spam,Earn extra cash from home,Exclusive deal available now. Receive a bonus reward when you sign up today. Do not miss this opportunity. Offer expires today. Please review the details when you have time.
spam,Exclusive offer just for you,You were selected as a lucky winner. Send your details today to receive your cash bonus immediately.
spam,Exclusive offer just for you,Earn extra money from home with our exclusive opportunity. Register today and receive your bonus.
spam,Class timetable update,The team standup will start at 10 AM tomorrow. Please prepare a short update on your current tasks.
spam,Win money today,You have been chosen for a cash promotion. Claim your money now by confirming your information. Please review the details when you have time.
